店舗名,町名,電話番号,取り扱い商品・サービス,大型店
幸盛,寄合町,027-325-4508,飲食店,
coffee Beans,八千代町,027-321-5616,飲食店,
コーヒー＆バル ふふるポレポレ,下豊岡町,,飲食店,
珈琲館高崎小鳥町店,下小鳥町,027-363-5351,飲食店,
コーヒーコーナー アトリエ,高松町,027-321-3773,飲食店,
珈琲所コメダ珈琲店,棟高町,027-373-0817,飲食店,イオンモール
コーヒーハウス ペンション,吉井町池,027-387-4054,飲食店,
珈琲房 豆や,江木町,027-325-0507,飲食店,
珈琲ぽぷら,下大島町,027-329-8198,飲食店,
珈琲浪漫,双葉町,027-321-8277,飲食店,
極濃湯麺フタツメ 貝沢店,貝沢町,027-363-8688,飲食店,
極濃湯麺フタツメ 八千代店,八千代町,027-324-8588,飲食店,
COCO CAFU Caf'e,旭町,090-4520-2370,飲食店,
ココス高崎店,請地町,027-320-1533,飲食店,
ココス高崎中居店,中居町,027-360-5622,飲食店,
五十番,石原町,027-323-9842,飲食店,
こちら、学校前食堂,山名町,027-388-8780,飲食店,
壽,中紺屋町,027-323-8545,飲食店,
寿ダイニング 花火,連雀町,027-315-8882,飲食店,
珈琲哲學 緑町店,緑町,027-370-6300,飲食店,
小松屋,榛名山町,027-374-9115,飲食店,
コミュニティカフェ 近隣大家族 棟高,棟高町,027-350-3191,飲食店,
コメダ珈琲店 高崎飯塚店,飯塚町,027-388-9280,飲食店,
コラボ,栄町,027-393-6809,飲食店,ヤマダデンキ LABI1
Korean Kitchen Shijan,棟高町,027-310-9066,飲食店,イオンモール
小料理 百合,新町,0274-42-4707,飲食店,
小料理 こゆき,飯塚町,027-386-2259,飲食店,
小料理 芳乃,上大類町,027-361-1161,飲食店,
コロラド 高崎大沢町店,大沢町,027-353-1026,飲食店,
THE REDLION,通町,027-325-1405,飲食店,
サイゼリヤ LABI高崎店,栄町,027-330-1501,飲食店,ヤマダデンキ LABI1
賽福香,下中居町,080-3918-6788,飲食店,
栄亭 ちょう家,綿貫町,027-381-6057,飲食店,
肴屋 佐平次,八島町,027-315-8882,飲食店,
The Good Bear Burger,貝沢町,027-362-6777,飲食店,
柘榴,吉井町長根,027-387-1222,飲食店,
酒処 きく平,通町,027-323-4057,飲食店,
酒処 與,和田多中町,080-8761-5955,飲食店,
酒処しの,柳川町,090-6951-9631,飲食店,
酒めし肴 まんざら亭,八千代町,027-388-8586,飲食店,
笹や,九蔵町,027-325-1659,飲食店,
幸屋 きよまる,新町,0274-42-5022,飲食店,
佐登美屋,新町,0274-42-0452,飲食店,
SUNNY KITCHEN,上大類町,027-352-0117,飲食店,
讃岐うどん 福泉,吉井町岩崎,027-388-2240,飲食店,
讃岐うどんはなまる Sanuki Udon HANAMARU,棟高町,027-310-9688,飲食店,イオンモール
サブリナ パスタ＆クラムチャウダー,八島町,027-387-0630,飲食店,OPA
SALLY TABLE,上中居町,027-350-7684,飲食店,
三千里,飯塚町,027-363-7668,飲食店,
三代目さんたろう,通町,027-321-6816,飲食店,
SANDY'S CREPE SERVICE,問屋町西,027-361-3767,飲食店,
サンドイッチ専門店pandasan,飯塚町,027ｰ384ｰ4113,飲食店,
さんぷく,嘉多町,027-322-2920,飲食店,
サンマルクカフェ,棟高町,027-310-9163,飲食店,イオンモール
サンライフ高崎,問屋町,027-361-0098,飲食店,
CM2 CAFE,矢中町,027-388-9135,飲食店,
ＧＧＣ 高崎本店,緑町,027-362-8887,飲食店,
Sii-Maru Cafe,新町,080-6727-3339,飲食店,
シェタカ高崎,栄町,027-321-8108,飲食店,
塩らーめん 小粋,井野町,027-393-6654,飲食店,
自家製麺くろ松,柳川町,,飲食店,
自家焙煎珈琲 楽渢,上中居町,027-388-1590,飲食店,
自家焙煎珈琲の店 きゃらばん,昭和町,027-323-4670,飲食店,
四季彩ダイニング 一,連雀町,027-386-8328,飲食店,
しげ寿司,北新波町,027-343-0154,飲食店,
しずの苺園,上小塙町,,飲食店,
自然堂,旭町,027-368-2058,飲食店,
四川料理 江湖,倉賀野町,027-346-8658,飲食店,
四川料理 福来,栄町,027-386-2675,飲食店,
時代屋 アピタ高崎店,矢中町,027-345-1810,飲食店,
時代屋 うおかつ榛名店,中里見町,090-7413-7099,飲食店,
地鶏らーめん翔鶴 高崎店,棟高町,027-368-0389,飲食店,
支那そば なかじま,飯塚町,027-363-5161,飲食店,
柴崎農園 nofu,柴崎町,027-335-8207,飲食店,
柴楽,田町,080-3605-3133,飲食店,
Jiwal Cafe,引間町,027-388-8712,飲食店,
しみづ食堂,下和田町,027-322-7604,飲食店,
しみず屋,吉井町長根,027-387-7962,飲食店,
JACK POT,通町,027-321-9504,飲食店,
シャトレーゼ LABI1高崎店,栄町,027-331-5008,飲食店,ヤマダデンキ LABI1
JapaneseBarKATSU,あら町,027-329-5708,飲食店,
しゃぶ菜,棟高町,027-310-4004,飲食店,イオンモール
SHABU SHABU SUKIYAKI DINING 金光,栄町,050-5595-3723,飲食店,ヤマダデンキ LABI1
しゃぶしゃぶどん亭 高崎店,緑町,027-363-8999,飲食店,
上海華龍,栄町,027-386-3388,飲食店,ヤマダデンキ LABI1
秀香,上佐野町,027-327-1184,飲食店,
十八番,下小鳥町,027-361-8570,飲食店,
周麺 環七ラーメン,鞘町,090-1699-8355,飲食店,
酒悦 巧,八幡町,027-393-6729,飲食店,
酒悦 七,通町,027-327-0571,飲食店,
酒肴 フォンティーナ,田町,027-386-2344,飲食店,
旬菜料理 秀,下室田町,090-4942-6021,飲食店,
じゅんず,剣崎町,027-344-6078,飲食店,
旬鮮魚菜くじら,東貝沢町,027-370-5800,飲食店,
旬鮮酒房 華暖,足門町,027-388-8482,飲食店,
純手打そば処 真人,柴崎町,027-353-4656,飲食店,
SHOGUNBURGER TAKASAKI,緑町,027-387-0035,飲食店,
上州山賊麺 大大坊,通町,027-327-9083,飲食店,
上州地鶏 鶏yasu,金井淵町,027-386-3901,飲食店,
上州食彩 くりあ,飯塚町,027-370-7030,飲食店,
上州長屋酒房 一福,通町,027-315-8882,飲食店,
上州ホルモン,上小塙町,027-343-1929,飲食店,
上州もつ煮食堂 乞和家,八幡原町,027-387-0126,飲食店,
焼酎天国 おかだ家,あら町,027-322-5110,飲食店,
庄や 高崎西口店,八島町,027-328-8833,飲食店,
松龍苑,箕郷町西明屋,027-371-5226,飲食店,
食彩 ふじ京,東貝沢町,027-350-7000,飲食店,
食彩々 元気丸亭,新町,0274-43-0111,飲食店,
食彩亭 たどおし,並榎町,027-327-0125,飲食店,
食事処 味里,箕郷町上芝,027-371-0471,飲食店,
食事処 雄,上小鳥町,027-381-6561,飲食店,
食事の店 廣,中豊岡町,090-3907-1843,飲食店,
食亭つかさ,足門町,027-373-0295,飲食店,
食屋敷 彩,箕郷町上芝,027-371-8680,飲食店,
ショットバー ムーンラビット,通町,027-327-9078,飲食店,
白樺亭,榛名湖町,027-374-9031,飲食店,
シルクロード石原店,石原町,027-323-3821,飲食店,
次郎長鮨,中居町,027-352-3851,飲食店,
ジンギスカンOthello,貝沢町,050-1295-1519,飲食店,
シンキチ醸造所,若松町,080-6629-2017,飲食店,
しんこう園/shinkouen cafe,下里見町,027-343-4326,飲食店,
信州そば処 小木曽製粉所,棟高町,027-395-0101,飲食店,イオンモール
信州そば処 そじ坊,八島町,027-310-2070,飲食店,モントレー
スゥイートバジル,菅谷町,027-372-5768,飲食店,
SUZZY'S,砂賀町,090-9207-0954,飲食店,
Soup curry Sugar,中居町,027-384-3813,飲食店,
すかや石原店,聖石町,027-322-1139,飲食店,
すかや 末広支店,末広町,027-322-3600,飲食店,
すかや鶴見店,八島町,027-323-1170,飲食店,
鮨 むらかみ,八千代町,027-325-7239,飲食店,
鮨 一,下大類町,027-388-8345,飲食店,
寿司・食事処 桜美,北久保町,027-325-7819,飲食店,
寿司うなぎ太刀,島野町,027-352-2262,飲食店,
鮨おかだ,大橋町,027-325-0084,飲食店,
鮨 小野瀬,上小塙町,027-340-7322,飲食店,
寿司割烹 豊,岩押町,027-323-2193,飲食店,
寿司と旬菜 なごみ,栄町,027-329-6605,飲食店,ヤマダデンキ LABI1
寿し真,中尾町,027-365-0222,飲食店,
スシロー高崎飯塚店,飯塚町,027-370-1066,飲食店,
スシロー高崎南店,下之城町,027-310-5800,飲食店,
鈴木亭,江木町,090-5567-8401,飲食店,
鈴与し,鶴見町,027-322-4855,飲食店,
スターサンジ LABI1高崎店,栄町,050-1860-4899,飲食店,ヤマダデンキ LABI1
スターバックスコーヒー,八島町,027-310-1220,飲食店,イーサイト
スターバックスコーヒー,八島町,027-326-4919,飲食店,モントレー
スターバックスコーヒー,八島町,027-310-5570,飲食店,OPA
STARBUCKS COFFEE（1階店）,棟高町,027-310-9051,飲食店,イオンモール
STARBUCKS COFFEE（2階店）,棟高町,027-388-1695,飲食店,イオンモール
すたみな太郎PREMIUM BUFFET 高崎店,新保町,027-353-8833,飲食店,
Steak Baru COWBOY,宮元町,027-386-9850,飲食店,
ステーキ．山 高崎上大類店,上大類町,027-352-1701,飲食店,
ステーキ＆ハンバーグ GGCキッチン,中泉町,027-372-7330,飲食店,
ステーキのドン 高崎北店,緑町,027-362-9933,飲食店,
ステーキ宮 上豊岡店,上豊岡町,027-343-8123,飲食店,
ステーキ宮 高崎東店,上大類町,027-386-2929,飲食店,
すないごの季,上小塙町,027-344-4344,飲食店,
スナック ハーフムーン,柳川町,027-325-1929,飲食店,
スナック アンジェラス,上大類町,027-352-7188,飲食店,
スナック フレンド,倉賀野町,027-347-3490,飲食店,
スナック れんげ,下小塙町,027-343-7446,飲食店,
巣の鳥 高崎西口店,八島町,027-384-4456,飲食店,
spice curry 梵 boy,片岡町,027-329-6389,飲食店,
スパゲッティ専科はらっぱ,八島町,027-322-5455,飲食店,モントレー
スパゲティー専科 はらっぱ 高崎駅東口店,栄町,027-395-4032,飲食店,
スペイン料理 Potoro,通町,080-1093-5316,飲食店,
スポーツバー＆ダイニング ピッチ,旭町,027-386-6185,飲食店,
スマイルダイニング 悟天,上並榎町,027-315-8882,飲食店,
炭こう,下和田町,027-315-0088,飲食店,
炭と鮨 座銀 THE GIN,通町,027-381-8328,飲食店,
炭火鳥,上小塙町,080-9663-0191,飲食店,
炭火bistro GOETHE(ゲーテ),連雀町,027-381-8310,飲食店,
炭火焼 ほるもん高崎,貝沢町,027-362-6634,飲食店,
炭火焼鳥まるよし,筑縄町,027-387-0169,飲食店,
炭火焼肉 千味庭,下小鳥町,027-365-2626,飲食店,
炭火焼肉 ホドリ,柳川町,027-325-4064,飲食店,
炭火焼肉ぎょうてん 高崎店,高関町,027-323-2786,飲食店,
炭火焼ホルモンFuu～フウ～,通町,027-388-8324,飲食店,
すみれ食堂,宮元町,027-322-5314,飲食店,
SLOW TIME,鞘町,027-325-3790,飲食店,
清仁軒,本町,027-327-3737,飲食店,
清水十割そばいち高崎総本店,島野町,027-350-9123,飲食店,
世界の銘酒屋 やました,下横町,027-322-6047,飲食店,
セレンディップ,島野町,027-386-5526,飲食店,
Zen,八幡町,080-9538-7037,飲食店,
創作料理 和進,新町,0274-42-3324,飲食店,
蕎麦 ほしの,通町,027-386-3495,飲食店,
蕎麦一,島野町,027-352-3711,飲食店,
そばきり,問屋町西,027-361-4928,飲食店,
そばサロン おおの,箕郷町上芝,027-371-4479,飲食店,
そば三昧,栄町,027-322-8008,飲食店,ヤマダデンキ LABI1
そば盛,金古町,027-373-7353,飲食店,
そば仙,緑町,027-362-0671,飲食店,
そば処 いち川,剣崎町,027-343-8996,飲食店,
そば処 いな垣,吉井町池,027-387-8578,飲食店,
そば処 ざぜん川,福島町,027-372-0534,飲食店,
そば処 うちだ,南大類町,027-333-7476,飲食店,
そば処 砂場,倉賀野町,027-346-2330,飲食店,
そば処 つゆ下梅の花 筑縄店,筑縄町,027-365-2360,飲食店,
そば処 つゆ下梅の花 本店,栄町,027-323-1140,飲食店,
そば処 つゆ下梅の花 東口店,栄町,027-327-4178,飲食店,
そば処 馬車屋,京目町,027-352-2728,飲食店,
そばとし,寺尾町,027-322-3232,飲食店,
そばはや,問屋町,027-363-6160,飲食店,
そば芳,通町,,飲食店,
そると。,飯塚町,027-386-9296,飲食店,
大吉庵,棟高町,027-373-6699,飲食店,
大恵鮨,倉賀野町,027-346-3326,飲食店,
大黒屋下小鳥店,下小鳥町,,飲食店,
DAICON,山名町,027-388-0808,飲食店,
大庄水産高崎西口店,八島町,027-323-8011,飲食店,
大蔵坊こばやし,榛名湖町,027-374-9311,飲食店,
ダイニングキッチンひなたや,足門町,080-3494-3128,飲食店,
ダイニング酒場BO-Z,通町,027-384-4919,飲食店,
DINING SALUTE,岩押町,027-384-4138,飲食店,
大平軒支店,石原町,027-323-6602,飲食店,
太平軒 本店,石原町,027-322-1636,飲食店,
タイ屋台料理ニパー,成田町,027-384-2286,飲食店,
太洋軒,下室田町,027-374-0098,飲食店,
大陸,吉井町吉井川,027-387-2327,飲食店,
タイレストラン ライタイ,東町,027-388-3525,飲食店,
台湾料理 福源,吉井町池,027-388-8635,飲食店,
台湾料理 長楽,並榎町,027-364-5085,飲食店,
台湾料理福ちゃん食堂,浜川町,027-344-4299,飲食店,
台湾料理 福味居,倉賀野町,027-347-2003,飲食店,
高倉町珈琲 高崎店,上小鳥町,027-386-4160,飲食店,
高崎 雨云,栄町,027-388-9890,飲食店,
高崎 素敵亭,緑町,027-363-3949,飲食店,
高崎オリオン座,新紺屋町,090-3408-6080,飲食店,
高崎カメレオン,通町,027-329-6570,飲食店,
高崎芸術劇場 シアターカフェ＆レストラン,栄町,027-328-2019,飲食店,
高崎ゲストハウス&カフェさんぽ屋,倉賀野町,,飲食店,
高崎公園亭,宮元町,027-322-3406,飲食店,
高崎甲羅本店,問屋町西,027-364-0091,飲食店,
高崎酒多,砂賀町,,飲食店,
高崎酒場,栄町,027-315-8882,飲食店,
高崎市役所地下1階食堂「はくもくれん」,高松町,027-327-2580,飲食店,
高崎青春ブタ二郎,東町,027-329-5078,飲食店,
高崎はた山,東町,027-321-7011,飲食店,
高崎Ring Road,筑縄町,027-395-4264,飲食店,
高崎ワインバール,八島町,027-388-9730,飲食店,
高崎ワシントンホテルプラザ ガスライト,八島町,027-324-2602,飲食店,
高砂庵,柳川町,027-326-4290,飲食店,
高田飯店,下大類町,027-352-2547,飲食店,
拓心庵,上中居町,027-323-3003,飲食店,
出汁林,八島町,027-329-5510,飲食店,OPA
たっぺいちゃん,新町,0274-42-0825,飲食店,
たばちょ,連雀町,027-329-6244,飲食店,
玉喜寿司,赤坂町,027-327-5001,飲食店,
たまりや,福島町,090-2640-5891,飲食店,
だめになれるカフェ＆バー やいさほー,大八木町,027-315-8134,飲食店,
たらふく餃子,矢中町,027-352-0144,飲食店,
タリーズコーヒー,八島町,027-310-5040,飲食店,モントレー
タリーズコーヒー スズラン高崎店,鞘町,027-381-6634,飲食店,スズラン高崎
だるま食堂,飯塚町,027-363-1728,飲食店,
たん二郎,綿貫町,027-386-3332,飲食店,
タンじろう,栄町,027-388-0005,飲食店,ヤマダデンキ LABI1
たん二郎高崎駅西口店,通町,027-386-6626,飲食店,
たんとん亭,中居町,027-352-5537,飲食店,
ダンニャバード 高崎駅西口店,あら町,027-323-1223,飲食店,
ダンニャバード 高崎貝沢店,貝沢町,027-363-6010,飲食店,
ダンニャバード 冷水店,冷水町,027-372-8180,飲食店,
段平寿司,成田町,027-323-2515,飲食店,
丹涼,本町,027-323-0093,飲食店,
地域支え合いセンター 近隣大家族 金井淵,金井淵町,027-343-3111,飲食店,
Chee's cafe dining,箕郷町下芝,027-395-0029,飲食店,
Chicken Dining owl,通町,027-384-4940,飲食店,
ちぐら,中居町,027-352-9862,飲食店,
馳走CO-JIRO（コジロウ）,八千代町,027-384-3874,飲食店,
馳走 なか川,和田町,027-325-0728,飲食店,
馳走屋 魚喜,東中里町,027-347-7573,飲食店,
ちっこい食どう大湊,中里見町,090-9427-9257,飲食店,
CHINA BAR 縁,宮元町,090-5553-6609,飲食店,
チャイナはうす龍,石原町,027-326-2528,飲食店,
チャイニーズ・ファン ココグラン店,東町,027-310-2288,飲食店,
チャイニーズレストラン 雪園,緑町,027-362-2626,飲食店,
茶楽人,上並榎町,027-363-0368,飲食店,
ちゃんこダイニング髙馬鵬,上佐野町,027-329-5738,飲食店,
中華・居酒屋らいち,上中居町,027-388-0899,飲食店,
中華居酒屋龍翔,八島町,027-386-3199,飲食店,
中華食堂日高屋,八島町,027-324-4100,飲食店,イーサイト
中華そば ぺる鶏,通町,050-3595-0176,飲食店,
中華ダイニング 好HAO,緑町,090-1120-1078,飲食店,
中華ダイニング 海菜楼,貝沢町,027-315-1400,飲食店,
中華料理 名菜,八島町,027-388-8171,飲食店,OPA
中華料理 愛華飯店,下里見町,027-343-8828,飲食店,
中華料理 成都,嘉多町,027-381-6520,飲食店,
中華料理正道軒,上並榎町,027-362-1185,飲食店,
中華料理 同源,浜尻町,027-364-5177,飲食店,
中国料理 龍翔飯店,緑町,027-364-1288,飲食店,
中国料理 福来香,大八木町,027-362-9133,飲食店,
中国料理 桃の花,町屋町,027-329-5185,飲食店,
中国料理四川,中豊岡町,027-327-4000,飲食店,
中国料理萬嵐,通町,027-327-0012,飲食店,
